result_id,grain_type,moisture,temperature,nature,created_at,timestamp,status,processed_at,processed_by
21010980050642,Hernes,14.35900,25.77200,0.77450,2024-08-30 12:49:13,2024-08-30 09:50:57.819464,New,,
21010980050643,Hernes,14.14100,25.71600,0.78365,2024-08-30 13:05:56,2024-08-30 10:10:09.958878,New,,
21010980050644,Nisu,14.28900,27.74800,0.79342,2024-08-30 13:12:56,2024-08-30 10:14:40.250539,New,,
21010980050645,Hernes,13.40200,25.84000,0.78662,2024-08-30 13:24:48,2024-08-30 10:26:31.865711,New,,
21010980050646,Nisu,14.62100,26.30300,0.79021,2024-08-30 13:35:24,2024-08-30 10:37:24.868445,New,,
21010980050648,Hernes,13.93900,26.80000,0.78588,2024-08-30 14:07:09,2024-08-30 11:10:09.242709,New,,
21010980050649,Hernes,14.46200,26.68700,0.77796,2024-08-30 14:36:28,2024-08-30 11:38:11.55438,New,,
21010980050650,Hernes,14.42700,26.93500,0.78563,2024-08-30 14:52:38,2024-08-30 11:54:22.218297,New,,
21010980050651,Hernes,14.27000,26.81100,0.78192,2024-08-30 15:27:51,2024-08-30 12:29:34.414646,New,,
21010980050652,Nisu,13.73800,32.67000,0.78848,2024-08-30 15:32:02,2024-08-30 12:33:46.192972,New,,
21010980050653,Hernes,14.31300,27.64600,0.78044,2024-08-30 15:46:36,2024-08-30 12:50:11.521021,New,,
21010980050654,Oder,22.81400,29.19300,0.48270,2024-08-30 15:54:07,2024-08-30 13:00:01.674176,New,,
21010980050655,Hernes,14.05900,27.81600,0.78885,2024-08-30 16:21:17,2024-08-30 13:23:01.666517,New,,
21010980050656,Hernes,13.22500,28.25600,0.78959,2024-08-30 16:50:47,2024-08-30 13:52:31.50192,New,,
