Date,Time,DROPS_SCORE,DROPS_SET_TIMER,SET_BURNERS_TEMP,COOLING_TIME,BOTTOM_TEMP_LIMIT,UPPER_FAN_SET_HZ,LOWER_FAN_SET_HZ,MID_TEMP_LIMIT
08-08-2024,00:05:11,,0.0,,,,,,
08-08-2024,00:05:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:05:41,,0.0,,,,,,
08-08-2024,00:05:48,,0.0,,,,,,
08-08-2024,00:05:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:06:11,,0.0,,,,,,
08-08-2024,00:06:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:06:41,,0.0,,,,,,
08-08-2024,00:06:48,,0.0,,,,,,
08-08-2024,00:06:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:07:11,,0.0,,,,,,
08-08-2024,00:07:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:07:41,,0.0,,,,,,
08-08-2024,00:07:48,,0.0,,,,,,
08-08-2024,00:07:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:08:11,,0.0,,,,,,
08-08-2024,00:08:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:08:41,,0.0,,,,,,
08-08-2024,00:08:48,,0.0,,,,,,
08-08-2024,00:08:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:09:11,,0.0,,,,,,
08-08-2024,00:09:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:09:41,,0.0,,,,,,
08-08-2024,00:09:48,,0.0,,,,,,
08-08-2024,00:09:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:10:11,,0.0,,,,,,
08-08-2024,00:10:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:10:41,,0.0,,,,,,
08-08-2024,00:10:48,,0.0,,,,,,
08-08-2024,00:10:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:11:11,,0.0,,,,,,
08-08-2024,00:11:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:11:41,,0.0,,,,,,
08-08-2024,00:11:48,,0.0,,,,,,
08-08-2024,00:11:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:12:11,,0.0,,,,,,
08-08-2024,00:12:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:12:41,,0.0,,,,,,
08-08-2024,00:12:48,,0.0,,,,,,
08-08-2024,00:12:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:13:11,,0.0,,,,,,
08-08-2024,00:13:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:13:41,,0.0,,,,,,
08-08-2024,00:13:48,,0.0,,,,,,
08-08-2024,00:13:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:14:11,,0.0,,,,,,
08-08-2024,00:14:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:14:41,,0.0,,,,,,
08-08-2024,00:14:48,,0.0,,,,,,
08-08-2024,00:14:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:15:11,,0.0,,,,,,
08-08-2024,00:15:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:15:41,,0.0,,,,,,
08-08-2024,00:15:48,,0.0,,,,,,
08-08-2024,00:15:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:16:11,,0.0,,,,,,
08-08-2024,00:16:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:16:41,,0.0,,,,,,
08-08-2024,00:16:48,,0.0,,,,,,
08-08-2024,00:16:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:17:11,,0.0,,,,,,
08-08-2024,00:17:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:17:41,,0.0,,,,,,
08-08-2024,00:17:48,,0.0,,,,,,
08-08-2024,00:17:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:18:11,,0.0,,,,,,
08-08-2024,00:18:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:18:41,,0.0,,,,,,
08-08-2024,00:18:48,,0.0,,,,,,
08-08-2024,00:18:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:19:11,,0.0,,,,,,
08-08-2024,00:19:22,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:19:41,,0.0,,,,,,
08-08-2024,00:19:48,,0.0,,,,,,
08-08-2024,00:19:52,1707,79.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:20:11,,0.0,,,,,,
08-08-2024,00:20:22,1707,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:20:41,,0.0,,,,,,
08-08-2024,00:20:48,,0.0,,,,,,
08-08-2024,00:20:52,1707,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:21:11,,0.0,,,,,,
08-08-2024,00:21:22,1707,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:21:41,,0.0,,,,,,
08-08-2024,00:21:48,,0.0,,,,,,
08-08-2024,00:21:52,1707,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:22:11,,0.0,,,,,,
08-08-2024,00:22:22,1707,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:22:41,,0.0,,,,,,
08-08-2024,00:22:48,,0.0,,,,,,
08-08-2024,00:22:52,1707,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:23:11,,0.0,,,,,,
08-08-2024,00:23:22,1707,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:23:41,,0.0,,,,,,
08-08-2024,00:23:48,,0.0,,,,,,
08-08-2024,00:23:52,1707,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:24:11,,0.0,,,,,,
08-08-2024,00:24:22,1708,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:24:41,,0.0,,,,,,
08-08-2024,00:24:48,,0.0,,,,,,
08-08-2024,00:24:52,1708,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:25:11,,0.0,,,,,,
08-08-2024,00:25:22,1708,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:25:41,,0.0,,,,,,
08-08-2024,00:25:48,,0.0,,,,,,
08-08-2024,00:25:52,1708,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:26:11,,0.0,,,,,,
08-08-2024,00:26:22,1708,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:26:41,,0.0,,,,,,
08-08-2024,00:26:48,,0.0,,,,,,
08-08-2024,00:26:52,1708,300.0,85.0,10,60.0,40,40,55.0
08-08-2024,00:27:11,,0.0,,,,,,
