Date,Time,Grain,Moisture,Temperature,Nature
10-08-2024,18:50:47,Nisu,16.469,25.863,0.7739
10-08-2024,19:28:26,Nisu,13.674,23.717,0.79589
10-08-2024,19:41:40,Nisu,16.263,24.7,0.78428
10-08-2024,20:10:01,Nisu,13.494,22.667,0.79515
10-08-2024,22:24:27,Nisu,13.624,18.31,0.7865
10-08-2024,22:46:40,Nisu,15.583,28.617,0.79663
10-08-2024,22:48:38,Nisu,13.667,18.005,0.78527
10-08-2024,22:52:16,Nisu,15.619,28.708,0.79342
10-08-2024,23:09:44,Nisu,15.578,28.809,0.79688
10-08-2024,23:10:28,Nisu,13.251,18.355,0.79317
10-08-2024,23:11:00,Nisu,13.207,18.795,0.79712
10-08-2024,23:14:31,Nisu,15.619,28.967,0.79243
10-08-2024,23:29:55,Nisu,15.47,28.053,0.79712
10-08-2024,23:32:51,Nisu,12.56,25.061,0.79564
10-08-2024,23:50:37,Nisu,12.711,27.771,0.79243
10-08-2024,23:52:26,Nisu,15.628,28.29,0.79885
11-08-2024,00:28:23,Nisu,13.285,23.921,0.79712
11-08-2024,07:24:35,Nisu,15.459,28.075,0.79119
11-08-2024,07:47:59,Nisu,13.055,21.301,0.80157
11-08-2024,08:15:13,Nisu,16.466,28.279,0.78477
11-08-2024,08:32:54,Nisu,15.834,28.527,0.78601
11-08-2024,08:44:42,Nisu,12.968,24.756,0.80552
11-08-2024,09:01:50,Nisu,15.625,27.579,0.79243
11-08-2024,09:33:21,Nisu,20.672,20.737,0.7455
11-08-2024,09:42:28,Nisu,13.117,24.44,0.79786
11-08-2024,10:32:42,Nisu,20.827,20.353,0.74327
11-08-2024,10:52:18,Nisu,12.79,21.64,0.79836
11-08-2024,10:59:51,Nisu,13.135,19.303,0.78527
11-08-2024,11:04:45,Nisu,13.424,22.374,0.79391
11-08-2024,11:55:33,Nisu,20.045,20.432,0.74624
11-08-2024,12:46:34,Nisu,12.585,19.766,0.78798
11-08-2024,12:54:52,Nisu,13.575,23.255,0.80923
11-08-2024,13:28:31,Nisu,12.915,19.992,0.78996
11-08-2024,13:31:31,Nisu,20.856,20.251,0.7366
11-08-2024,17:01:34,Nisu,12.924,20.376,0.78848
11-08-2024,17:24:20,Nisu,21.085,20.455,0.73685
11-08-2024,17:56:49,Nisu,12.32,19.201,0.78798
11-08-2024,18:34:28,Nisu,16.072,28.392,0.7865
11-08-2024,18:45:02,Nisu,12.843,19.066,0.78601
11-08-2024,19:07:34,Nisu,13.191,19.032,0.78971
11-08-2024,19:09:42,Nisu,13.281,19.382,0.79194
11-08-2024,19:12:58,Nisu,20.865,20.229,0.73883
11-08-2024,19:38:30,Nisu,13.656,18.682,0.79119
11-08-2024,20:01:12,Nisu,13.642,18.795,0.78823
11-08-2024,20:23:43,Nisu,13.693,18.784,0.78749
11-08-2024,20:25:01,Nisu,13.765,19.055,0.79095
11-08-2024,20:46:54,Nisu,13.794,18.569,0.78774
11-08-2024,21:09:54,Nisu,21.025,20.093,0.73339
11-08-2024,21:10:43,Nisu,13.527,18.174,0.78749
11-08-2024,21:32:56,Nisu,13.487,17.948,0.787
11-08-2024,22:01:58,Nisu,13.814,18.061,0.78551
11-08-2024,22:05:23,Nisu,21.11,19.71,0.71882
11-08-2024,22:34:02,Nisu,13.899,17.971,0.7865
11-08-2024,22:59:15,Nisu,13.6,18.716,0.78798
12-08-2024,07:30:10,Nisu,13.458,22.984,0.80305
