Alarm_Type,Start,End,Duration
MIDDLE_LEVEL_ALARM,2024-08-11 13:58:00,2024-08-11 14:04:00,6.0
MIDDLE_LEVEL_ALARM,2024-08-11 14:06:00,2024-08-11 14:26:00,20.0
MIDDLE_LEVEL_ALARM,2024-08-11 14:28:00,2024-08-11 14:34:00,6.0
MIDDLE_LEVEL_ALARM,2024-08-11 14:36:00,2024-08-11 15:05:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-11 15:07:00,2024-08-11 15:21:00,14.0
MIDDLE_LEVEL_ALARM,2024-08-11 17:30:00,2024-08-11 17:52:00,22.0
MIDDLE_LEVEL_ALARM,2024-08-11 17:54:00,2024-08-11 18:27:00,33.0
MIDDLE_LEVEL_ALARM,2024-08-11 18:29:00,2024-08-11 18:56:00,27.0
MIDDLE_LEVEL_ALARM,2024-08-11 18:58:00,2024-08-11 19:24:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-11 19:26:00,2024-08-11 19:42:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-11 19:44:00,2024-08-11 19:50:00,6.0
MIDDLE_LEVEL_ALARM,2024-08-11 19:52:00,2024-08-11 20:17:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-11 20:19:00,2024-08-11 20:45:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-11 20:47:00,2024-08-11 21:05:00,18.0
MIDDLE_LEVEL_ALARM,2024-08-11 21:07:00,2024-08-11 21:13:00,6.0
MIDDLE_LEVEL_ALARM,2024-08-11 21:15:00,2024-08-11 21:43:00,28.0
MIDDLE_LEVEL_ALARM,2024-08-11 21:45:00,2024-08-11 22:11:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-11 22:13:00,2024-08-11 22:32:00,19.0
MIDDLE_LEVEL_ALARM,2024-08-11 22:34:00,2024-08-11 22:40:00,6.0
MIDDLE_LEVEL_ALARM,2024-08-11 22:43:00,2024-08-11 23:02:00,19.0
MIDDLE_LEVEL_ALARM,2024-08-11 23:04:00,2024-08-11 23:10:00,6.0
MIDDLE_LEVEL_ALARM,2024-08-11 23:12:00,2024-08-11 23:31:00,19.0
MIDDLE_LEVEL_ALARM,2024-08-11 23:33:00,2024-08-11 23:53:00,20.0
MIDDLE_LEVEL_ALARM,2024-08-15 10:24:00,2024-08-15 10:25:00,1.0
MIDDLE_LEVEL_ALARM,2024-08-15 10:27:00,2024-08-15 10:53:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-15 10:56:00,2024-08-15 11:23:00,27.0
MIDDLE_LEVEL_ALARM,2024-08-15 11:26:00,2024-08-15 11:57:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-15 12:00:00,2024-08-15 12:28:00,28.0
MIDDLE_LEVEL_ALARM,2024-08-15 12:31:00,2024-08-15 12:59:00,28.0
MIDDLE_LEVEL_ALARM,2024-08-15 13:04:00,2024-08-15 13:31:00,27.0
MIDDLE_LEVEL_ALARM,2024-08-15 13:36:00,2024-08-15 14:05:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-15 14:08:00,2024-08-15 14:37:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-15 14:41:00,2024-08-15 15:11:00,30.0
MIDDLE_LEVEL_ALARM,2024-08-15 15:15:00,2024-08-15 15:44:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-15 15:49:00,2024-08-15 16:19:00,30.0
MIDDLE_LEVEL_ALARM,2024-08-15 16:23:00,2024-08-15 16:54:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-15 16:59:00,2024-08-15 17:30:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-15 17:35:00,2024-08-15 18:08:00,33.0
MIDDLE_LEVEL_ALARM,2024-08-15 18:13:00,2024-08-15 18:47:00,34.0
MIDDLE_LEVEL_ALARM,2024-08-15 18:52:00,2024-08-15 19:21:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-15 19:28:00,2024-08-15 20:03:00,35.0
MIDDLE_LEVEL_ALARM,2024-08-15 20:10:00,2024-08-15 20:34:00,24.0
MIDDLE_LEVEL_ALARM,2024-08-15 20:36:00,2024-08-15 20:46:00,10.0
MIDDLE_LEVEL_ALARM,2024-08-15 20:51:00,2024-08-15 21:27:00,36.0
MIDDLE_LEVEL_ALARM,2024-08-15 21:31:00,2024-08-15 22:00:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-15 22:05:00,2024-08-15 22:36:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-15 22:42:00,2024-08-15 23:12:00,30.0
MIDDLE_LEVEL_ALARM,2024-08-15 23:17:00,2024-08-15 23:54:00,37.0
MIDDLE_LEVEL_ALARM,2024-08-15 23:59:00,2024-08-15 23:59:00,0.0
MIDDLE_LEVEL_ALARM,2024-08-16 00:01:00,2024-08-16 00:32:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-16 00:40:00,2024-08-16 00:41:00,1.0
MIDDLE_LEVEL_ALARM,2024-08-16 00:45:00,2024-08-16 01:16:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-16 01:22:00,2024-08-16 01:51:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-16 01:54:00,2024-08-16 02:25:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-16 02:28:00,2024-08-16 02:40:00,12.0
MIDDLE_LEVEL_ALARM,2024-08-16 02:42:00,2024-08-16 02:59:00,17.0
MIDDLE_LEVEL_ALARM,2024-08-16 03:02:00,2024-08-16 03:14:00,12.0
MIDDLE_LEVEL_ALARM,2024-08-16 03:16:00,2024-08-16 03:34:00,18.0
MIDDLE_LEVEL_ALARM,2024-08-16 03:37:00,2024-08-16 03:49:00,12.0
MIDDLE_LEVEL_ALARM,2024-08-16 03:51:00,2024-08-16 04:08:00,17.0
MIDDLE_LEVEL_ALARM,2024-08-16 04:11:00,2024-08-16 04:25:00,14.0
MIDDLE_LEVEL_ALARM,2024-08-16 04:27:00,2024-08-16 04:46:00,19.0
MIDDLE_LEVEL_ALARM,2024-08-16 04:50:00,2024-08-16 05:24:00,34.0
MIDDLE_LEVEL_ALARM,2024-08-16 05:28:00,2024-08-16 05:43:00,15.0
MIDDLE_LEVEL_ALARM,2024-08-16 05:45:00,2024-08-16 06:01:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-16 06:05:00,2024-08-16 06:39:00,34.0
MIDDLE_LEVEL_ALARM,2024-08-16 06:44:00,2024-08-16 07:00:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-16 07:02:00,2024-08-16 07:17:00,15.0
MIDDLE_LEVEL_ALARM,2024-08-16 07:22:00,2024-08-16 07:53:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-16 07:58:00,2024-08-16 08:24:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-16 08:26:00,2024-08-16 08:53:00,27.0
MIDDLE_LEVEL_ALARM,2024-08-16 08:56:00,2024-08-16 09:07:00,11.0
MIDDLE_LEVEL_ALARM,2024-08-16 09:09:00,2024-08-16 09:25:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-16 09:29:00,2024-08-16 09:33:00,4.0
MIDDLE_LEVEL_ALARM,2024-08-16 09:38:00,2024-08-16 10:46:00,68.0
MIDDLE_LEVEL_ALARM,2024-08-16 15:19:00,2024-08-16 15:19:00,0.0
MIDDLE_LEVEL_ALARM,2024-08-16 15:51:00,2024-08-16 16:07:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-16 16:31:00,2024-08-16 16:46:00,15.0
MIDDLE_LEVEL_ALARM,2024-08-16 16:48:00,2024-08-16 17:19:00,31.0
MIDDLE_LEVEL_ALARM,2024-08-16 17:24:00,2024-08-16 18:03:00,39.0
MIDDLE_LEVEL_ALARM,2024-08-16 19:50:00,2024-08-16 20:23:00,33.0
MIDDLE_LEVEL_ALARM,2024-08-16 20:26:00,2024-08-16 20:52:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-16 21:13:00,2024-08-16 22:00:00,47.0
MIDDLE_LEVEL_ALARM,2024-08-16 22:10:00,2024-08-16 22:37:00,27.0
MIDDLE_LEVEL_ALARM,2024-08-16 22:42:00,2024-08-16 23:08:00,26.0
MIDDLE_LEVEL_ALARM,2024-08-16 23:13:00,2024-08-16 23:38:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-16 23:43:00,2024-08-17 00:07:00,24.0
MIDDLE_LEVEL_ALARM,2024-08-17 00:11:00,2024-08-17 00:36:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-17 00:41:00,2024-08-17 01:06:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-17 01:15:00,2024-08-17 01:31:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-17 01:34:00,2024-08-17 01:38:00,4.0
MIDDLE_LEVEL_ALARM,2024-08-17 01:40:00,2024-08-17 01:43:00,3.0
